,round,model 1 train acc,model 1 train loss,model 2 train acc,model 2 train loss,model 1 test acc,model 1 test loss,model 2 test acc,model 2 test loss
12,120,0.7154556292826798,1.1423500597925027,0.5555164421644438,1.8048734652394043,0.7134291246268173,1.1403567090216928,0.55148049763569,1.806799700801062
13,130,0.7212653732777363,1.13844459760667,0.5600352807825143,1.7975384138737078,0.7186834228020567,1.1363447243800142,0.5548366944153713,1.7995651163499724
14,140,0.720145844463085,1.1357259943150702,0.561979289809022,1.791172915499488,0.718640227375675,1.1335394615989607,0.5565126526203313,1.7931679994809968
15,150,0.7254828910165496,1.1323170802838176,0.5639061370051648,1.7847086518382511,0.7243579383873043,1.130374284660761,0.5572284687151589,1.7868215407236963
16,160,0.7274100050714178,1.1293827936099232,0.5652046626723117,1.7793611476029814,0.7269797053884783,1.1273402115796838,0.5605783087892888,1.7813975731386251
17,170,0.7301563660422272,1.1268879734755206,0.5669764526795166,1.7747573723403325,0.7310512000692198,1.1247649536444393,0.5636687294589122,1.7768275093347548
18,180,0.7403538999742109,1.124086318809019,0.5669885080570335,1.7702344059254815,0.7403013195842123,1.1221967836642321,0.5640988935783738,1.7723197649902993
19,190,0.7411765885252932,1.122083993615696,0.5681351066196962,1.7663684918867595,0.7414702966852685,1.1201689007103948,0.5631173351439117,1.7684733918771067
20,200,0.7355271185268306,1.1204238503700326,0.570712509193171,1.7629272976262622,0.7378594375193969,1.1183739457632729,0.5635549815438158,1.7650341135589729
21,210,0.7369797885919454,1.118568160547462,0.5721720921871198,1.7593823809897615,0.7383598652705697,1.116548985185399,0.5649446300736076,1.7614709804080133
22,220,0.7466478120316316,1.116446226203359,0.5729767087347973,1.7559585740061658,0.7479411663520048,1.1145103933632878,0.5667684559984894,1.758080157564067
23,230,0.7485823242011603,1.1145068437446974,0.5742817961886135,1.7528570221540278,0.7510688046938613,1.1125901055765686,0.5681526682699837,1.7549988052641876
24,240,0.749228249650302,1.1132410483674628,0.5758862671890431,1.7501122983791504,0.7503449447153372,1.1113242441896025,0.5686246489150711,1.75218621085907
25,250,0.7618103342792983,1.1112767839624778,0.5765362798212904,1.747449012563701,0.7601807069721201,1.109461057336632,0.5697887548323131,1.7495138173321163
26,260,0.7611629492673031,1.109801512513146,0.5775161774222337,1.744560024362853,0.7597021742105882,1.1079972766127233,0.5698045234393087,1.746636899175236
